"ZIP","COOK_COUNTY_MUNICIPALITY","MORTGAGE_2016","MORTGAGE_2017","MORTGAGE_2018","MORTGAGE_2019","MORTGAGE_2020","MORTGAGE_2021","MORTGAGE_2022","MORTGAGE_2023","FORCLOSURE_2016","FORCLOSURE_2017","FORCLOSURE_2018","FORCLOSURE_2019","FORCLOSURE_2020","FORCLOSURE_2021","FORCLOSURE_2022","FORCLOSURE_2023","SINGLE_FAMILY","CONDOMINIUM","BUILDING_2TO4","BUILDING_5PLUS","ALL_RESIDENTIAL","SALES_2016","SALES_2017","SALES_2018","SALES_2019","SALES_2020","SALES_2021","SALES_2022","SALES_2023","OWNER_OCCUPIED","RENTER_OCCUPIED","TOTAL_HOUSEHOLDS","OWNER_OCCUPIED_COST_BURDENED","RENTER_OCCUPIED_COST_BURDENED","ALL_COST_BURDENED","SALE_2019"
"60077",Skokie,2233,1867,1428,1751,2515,3422,1440,812,102,94,83,89,31,28,76,41,0.60,0.20,0.10,0.11,1.00,741,687,641,,586,842,623,450,0.75,0.25,24049,0.28,0.50,0.33,679
"60010",South Barrington,223,192,158,141,230,322,140,77,6,9,3,10,2,,4,2,1.00,,,,1.00,55,75,60,,70,101,84,65,0.99,0.01,1613,0.30,0.00,0.30,41
"60412",South Chicago Heights,60,85,57,57,73,117,102,87,23,12,21,20,3,4,13,4,0.72,0.01,0.12,0.16,1.00,70,66,57,,36,69,66,46,0.69,0.31,1590,0.18,0.87,0.39,47
"60473",South Holland,647,590,526,545,617,1048,780,587,169,193,155,159,65,23,130,101,0.97,0.01,0.01,0.01,1.00,401,452,431,,293,446,382,275,0.83,0.17,7638,0.34,0.72,0.40,322
"60475",Steger,173,199,177,197,204,371,306,214,46,48,50,37,11,8,34,37,0.89,,0.08,0.04,1.00,63,80,77,,63,92,86,69,0.60,0.40,4050,0.21,0.60,0.36,55
"60402",Stickney,189,176,155,193,221,306,164,143,31,21,17,16,9,3,7,11,0.69,0.06,0.05,0.20,1.00,91,97,93,,69,94,66,67,0.88,0.12,2392,0.32,0.37,0.33,84
"60165",Stone Park,44,37,38,39,42,62,41,40,8,11,13,4,4,2,9,2,0.28,,0.17,0.56,1.00,30,19,26,,16,26,18,20,0.54,0.46,1241,0.31,0.51,0.40,22
"60107",Streamwood,1544,1396,1165,1354,1706,2600,1200,770,136,135,108,104,33,10,81,50,0.86,0.13,0.00,0.01,1.00,678,726,665,,557,817,565,440,0.86,0.14,13234,0.24,0.45,0.27,625
"60501",Summit,124,161,139,131,136,238,147,121,27,19,16,20,1,4,18,12,0.50,0.01,0.42,0.08,1.00,71,78,69,,50,71,61,42,0.58,0.42,3600,0.33,0.59,0.44,57
"60476",Thornton,50,59,70,76,74,127,100,62,9,8,9,12,4,4,12,5,0.86,,0.04,0.10,1.00,42,46,50,,48,68,54,43,0.84,0.16,916,0.18,0.68,0.24,46
"60477",Tinley Park,2185,1912,1656,1829,2806,3518,1779,1119,165,140,111,142,45,21,101,49,0.66,0.23,0.02,0.09,1.00,625,629,664,,648,809,617,434,0.88,0.13,21873,0.23,0.48,0.26,646
"60154",Westchester,840,678,583,706,915,1200,599,405,59,50,50,53,20,10,44,26,0.89,0.04,0.07,0.01,1.00,361,353,360,,359,386,339,240,0.91,0.09,7145,0.23,0.31,0.23,333
"60558",Western Springs,917,615,495,685,1060,1231,469,297,11,7,7,8,4,5,6,9,0.91,0.06,0.02,0.02,1.00,243,239,236,,242,327,233,189,0.97,0.03,4521,0.19,0.28,0.20,272
"60090",Wheeling,985,910,738,809,1040,1555,733,444,72,64,64,41,26,9,47,26,0.37,0.41,0.01,0.22,1.00,245,270,261,,192,302,239,214,0.63,0.37,15484,0.29,0.45,0.35,211
"60480",Willow Springs,299,203,207,241,286,380,189,131,10,16,13,14,3,6,5,4,0.74,0.19,0.04,0.03,1.00,69,93,91,,103,96,95,80,0.84,0.16,2550,0.23,0.51,0.27,95
"60091",Wilmette,1650,1041,932,1146,1724,2184,880,508,39,33,33,27,11,6,20,16,0.81,0.08,0.01,0.10,1.00,459,459,438,,446,636,417,340,0.87,0.13,10398,0.28,0.46,0.30,417
"60093",Winnetka,855,563,477,618,815,1132,511,227,9,15,16,8,6,1,9,6,0.83,0.08,0.02,0.08,1.00,257,250,259,,279,370,262,181,0.92,0.08,4242,0.28,0.59,0.30,251
"60482",Worth,249,225,263,293,318,470,264,194,39,34,30,29,9,4,28,14,0.52,0.24,0.05,0.20,1.00,117,106,135,,104,149,109,93,0.63,0.37,4363,0.33,0.56,0.41,143
